di	59610
e	37511
a	33655
d	28548
lu	21839
la	21254
l	18008
li	14843
na	14463
n	11300
s	11300
un	10272
ca	10249
ta	8973
i	8179
nt	7827
ci	7640
pi	7580
nu	7398
si	6724
cu	6035
ku	5957
p	5470
stub	4968
o	4584
c	4405
nta	3881
st	3873
culu	3859
pa	3712
den	3696
u	3320
art	3305
sulu	3225
chi	3181
comu	3145
su	3062
secunnu	2847
y	2839
siddu	2822
wikipedia	2741
fu	2707
m	2650
catigur	2640
rilu	2568
cchi	2564
ak	2561
viditi	2526
rilativa	2508
cumpretu	2502
putiti	2499
elencu	2496
abbozzu	2493
cumminzioni	2492
vuliti	2487
ammigghiur	2474
ma	2450
nun	2364
t	2338
j	2328
ko	2295
tabata	2243
bi	2059
nan	1983
yi	1977
parti	1975
f	1958
sicilianu	1865
te	1824
g	1746
sunnu	1690
mi	1689
mu	1621
havi	1568
macari	1548
mas	1535
ssiri	1458
yu	1425
veni	1417
sicilia	1399
supra	1398
riba	1380
era	1376
bu	1375
sta	1371
de	1368
b	1360
mber	1344
tin	1303
pruvincia	1291
puru	1290
cumuni	1288
no	1287
v	1283
utri	1276
stu	1216
r	1189
abbitanti	1178
tutti	1167
gi	1159
ne	1141
unni	1136
assai	1133
tra	1111
aki	1104
el	1092
w	1083
lingua	1077
nomu	1051
quannu	1048
granni	1045
ba	1037
ni	1025
anto	1015
anni	985
h	982
nti	980
ora	954
nn	951
statu	941
aña	940
ñu	937
k	929
dui	923
in	918
am	907
vuci	899
prima	897
doppu	893
tur	887
siciliana	880
palora	873
bo	872
lo	852
por	838
unu	828
of	824
ch	824
for	818
tempu	818
eni	816
da	813
ay	797
cui	791
cit	786
av	786
fa	770
ri	759
san	756
tambe	755
mooy	743
disambig	743
paisi	741
gu	731
forma	723
manera	721
ntra	717
xam	705
man	704
vinni	697
ti	673
mmiru	669
du	665
the	662
moom	661
otro	656
despues	651
ppi	649
dialettu	648
tica	643
lla	642
kk	640
hopi	631
komo	625
storia	608
circa	600
grandi	595
bai	595
fari	595
italia	586
bisa	582
anu	580
ecc	577
attrova	577
nni	572
it	570
iddu	569
diri	565
ngir	561
ab	561
mb	558
mpurtanti	553
nos	551
usu	550
bbili	547
sti	546
tanti	545
latinu	541
primu	538
vanu	536
una	534
gruppu	530
pir	530
usatu	530
woon	526
risi	526
re	525
catania	521
nzinu	518
leen	515
tuttu	513
sula	512
so	512
mari	510
rifiriri	509
mprici	508
palermu	508
tri	508
ñ	506
speci	504
keda	503
talianu	501
dia	500
mentri	498
nica	496
citati	495
ogni	494
ticu	491
famigghia	490
difinizzioni	488
niri	487
fattu	487
chiddu	483
aruba	482
pais	481
foru	480
é	479
ag	478
nekk	475
sutta	475
sa	474
ggini	474
standard	473
pupulazzioni	473
scrittu	472
hannu	465
cc	464
cuntinutu	462
munnu	458
ei	456
ngi	454
hulandes	453
nga	453
diversi	452
bira	451
sempri	447
tera	446
dor	443
stissu	442
guerra	439
pul	437
chidda	437
esaki	436
ancora	436
fini	434
wax	434
hende	434
dos	432
siciliani	431
duna	431
sud	429
cci	429
migghiuratu	429
nag	426
fici	420
vita	416
rdu	415
non	413
nicu	413
picca	411
spissu	408
formula	407
stati	406
mes	406
mei	405
senza	405
accuss	401
dici	400
nord	399
appoi	396
asina	394
vota	394
des	391
zo	388
usa	387
terra	387
spagnolu	387
sica	386
soria	385
annu	383
fin	382
wordu	381
francisi	381
santu	380
def	380
ranu	379
calabbrisi	378
quali	377
chiddi	376
riñ	376
hasi	375
le	374
gg	374
micu	372
picch	370
vidi	369
chistu	367
ii	365
al	365
regnu	363
centru	359
acqua	358
all	357
sant	355
manu	355
zona	355
pero	354
culi	354
asempiu	353
utru	352
tabatin	352
prome	351
voti	349
rica	347
riggiuni	347
pueblo	347
traha	347
arcuni	346
ñi	345
duranti	344
travagghiu	340
rmini	340
moo	338
morti	335
roma	335
loolu	334
haña	332
fica	331
principali	331
capitali	330
sia	329
viri	328
stica	327
lingui	326
bbica	326
versu	325
km	324
tutta	323
aviri	323
isla	323
sistema	322
entre	321
salentinu	321
kapital	321
ponnu	318
bin	317
tu	316
quarchi	315
pirsuni	315
nj	314
muy	312
chiamatu	310
ji	308
mart	308
usata	308
as	307
aprel	306
mira	306
walla	305
sunu	304
oktober	304
piri	304
iddi	302
pt	302
yüni	302
nov	302
primi	300
yüli	300
particulari	300
pirsuna	299
rsou	298
misi	298
suli	297
oug	295
waaye	294
ju	294
modu	294
yanüari	293
quasi	293
febrüari	290
dios	290
ndax	289
seen	289
calabbria	288
doon	287
tantu	287
utra	286
ccu	282
tawata	281
nit	281
missina	280
puli	277
pasobra	277
cosi	276
grecu	275
udu	275
koy	274
appi	273
wu	273
pr	271
promé	271
vari	270
pira	270
patri	270
poti	270
awa	269
europa	269
ur	269
aut	268
riu	267
pupulari	267
fi	266
benn	265
bokk	265
mmeci	265
puntu	263
santa	263
minu	263
tata	262
ria	262
capu	262
mundu	262
cuvernu	261
daa	259
ng	259
hulanda	256
cr	254
cosa	254
liggi	254
situatu	253
voli	248
partitu	247
corpu	247
campu	247
biba	246
simu	246
tr	246
pri	245
rekk	245
ciumi	245
mester	245
kaminda	244
usari	244
boso	243
aprili	243
to	242
mm	242
wi	242
giugnu	241
uniti	239
casa	239
libbri	238
austu	238
certi	237
islanan	237
pp	237
numa	237
kon	237
banda	236
bari	236
bon	236
nna	236
tipu	236
idda	236
sign	236
oi	235
contra	235
figghiu	235
cumunit	234
rdini	234
est	234
costa	233
autri	233
forti	232
megghiu	232
pirch	232
ñoom	230
sali	230
palori	230
videmma	229
nichi	229
francia	229
dic	228
secunna	228
dje	228
novu	227
casu	227
jinnaru	227
x	226
fatti	226
album	226
nd	226
laman	225
gran	225
nova	225
yama	224
castigghia	224
miridiunali	223
bou	223
at	223
scr	221
ra	221
durante	220
casi	220
musicali	220
porta	220
del	220
basi	220
sticu	220
ha	220
ya	220
and	220
circannu	220
canusciutu	219
il	219
fora	219
mag	218
tres	217
stissa	217
anticu	217
chiamata	216
tirritoriu	216
riggiunali	216
poi	215
mica	214
se	214
idioma	214
prisidenti	214
utt	214
serka	213
bis	213
viru	213
awor	212
diffusioni	212
chissu	212
bida	212
ginirali	212
mbernan	211
señor	211
sitt	211
como	211
marzu	210
ki	210
ttiri	209
nañu	209
nanu	209
maiu	208
prisenti	208
put	208
nort	208
en	207
sciri	207
culuri	207
ngrisi	206
nasc	206
dduna	206
vicinu	205
nzemi	204
finu	204
tax	204
estado	203
omu	202
diu	202
rumanu	201
riggiu	201
koo	201
ll	200
giugnettu	200
antica	200
chista	199
quattru	198
taliana	197
avissi	197
apparteni	197
spagna	197
quantu	197
jak	197
mmulu	197
asempi	197
mitri	196
fannu	196
ñaari	196
siglo	195
vin	195
nuv	195
reino	194
lañu	194
vula	194
león	194
nazziunali	194
littiratura	194
mpiraturi	194
via	193
